Agency Name,State,NCES Agency ID,County Name,County #,Total Public Schools 2020-2021,Total Operational Public Schools 2020-2021,State Agency ID,Total Students 2020-2021,FTE Teachers 2020-2021,Total Staff 2020-2021,District #,% Operational Schools 2020-2021
MEADOWLAND CHARTER DISTRICT,Texas,4801404.0,Kendall County,48259.0,2.0,2.0,TX-130801,82.0,11.35,23.0,130801,1.0
MEDINA ISD,Texas,4830030.0,Bandera County,48019.0,1.0,1.0,TX-010901,274.0,33.45,73.75,010901,1.0
MEDINA VALLEY ISD,Texas,4830060.0,Medina County,48325.0,9.0,7.0,TX-163908,6134.0,388.16,820.2,163908,0.7777777777777778
MELISSA ISD,Texas,4830120.0,Collin County,48085.0,6.0,5.0,TX-043908,4104.0,256.24,448.2,043908,0.8333333333333334
MEMPHIS ISD,Texas,4830180.0,Hall County,48191.0,4.0,4.0,TX-096904,443.0,43.87,110.34,096904,1.0
MENARD ISD,Texas,4830210.0,Menard County,48327.0,2.0,2.0,TX-164901,279.0,27.0,63.0,164901,1.0
MERCEDES ISD,Texas,4830250.0,Hidalgo County,48215.0,12.0,12.0,TX-108907,4681.0,325.5,725.97,108907,1.0
MERIDIAN ISD,Texas,4830300.0,Bosque County,48035.0,2.0,2.0,TX-018902,418.0,44.27,94.7,018902,1.0
MERIDIAN WORLD SCHOOL LLC,Texas,4801422.0,Williamson County,48491.0,1.0,1.0,TX-246801,1682.0,110.06,203.68,246801,1.0
MERKEL ISD,Texas,4830340.0,Taylor County,48441.0,4.0,3.0,TX-221904,1097.0,100.31,179.51,221904,0.75
MESQUITE ISD,Texas,4830390.0,Dallas County,48113.0,50.0,50.0,TX-057914,38527.0,2629.14,5319.98,057914,1.0
MEXIA ISD,Texas,4830420.0,Limestone County,48293.0,5.0,5.0,TX-147903,1844.0,151.99,330.66,147903,1.0
MEYERPARK ELEMENTARY,Texas,4800262.0,Harris County,48201.0,1.0,1.0,TX-101855,260.0,16.63,29.95,101855,1.0
MEYERSVILLE ISD,Texas,4830450.0,DeWitt County,48123.0,1.0,1.0,TX-062906,166.0,11.64,24.03,062906,1.0
MIAMI ISD,Texas,4830480.0,Roberts County,48393.0,1.0,1.0,TX-197902,195.0,22.08,39.69,197902,1.0
MIDLAND ACADEMY CHARTER SCHOOL,Texas,4800148.0,Midland County,48329.0,1.0,1.0,TX-165802,370.0,29.0,44.96,165802,1.0
MIDLAND ISD,Texas,4830570.0,Midland County,48329.0,41.0,41.0,TX-165901,25579.0,1661.17,3012.56,165901,1.0
MIDLOTHIAN ISD,Texas,4830600.0,Ellis County,48139.0,13.0,12.0,TX-070908,9838.0,614.21,1186.08,070908,0.9230769230769231
MIDWAY ISD,Texas,4830660.0,Clay County,48077.0,1.0,1.0,TX-039905,132.0,17.76,30.8,039905,1.0
MIDWAY ISD,Texas,4830640.0,McLennan County,48309.0,11.0,10.0,TX-161903,8253.0,548.37,1110.25,161903,0.9090909090909091
MILANO ISD,Texas,4830690.0,Milam County,48331.0,3.0,3.0,TX-166903,396.0,39.89,76.64,166903,1.0
MILDRED ISD,Texas,4830720.0,Navarro County,48349.0,2.0,2.0,TX-175910,755.0,56.29,109.35,175910,1.0
MILES ISD,Texas,4830750.0,Runnels County,48399.0,4.0,3.0,TX-200902,468.0,40.81,76.99,200902,0.75
MILFORD ISD,Texas,4830780.0,Ellis County,48139.0,1.0,1.0,TX-070909,245.0,24.58,44.63,070909,1.0
MILLER GROVE ISD,Texas,4830810.0,Hopkins County,48223.0,1.0,1.0,TX-112907,306.0,30.08,51.0,112907,1.0
MILLSAP ISD,Texas,4830870.0,Parker County,48367.0,3.0,3.0,TX-184904,1029.0,83.46,163.24,184904,1.0
MINEOLA ISD,Texas,4830930.0,Wood County,48499.0,4.0,4.0,TX-250903,1591.0,139.36,276.55,250903,1.0
MINERAL WELLS ISD,Texas,4830950.0,Palo Pinto County,48363.0,4.0,4.0,TX-182903,3116.0,232.35,496.24,182903,1.0
MISSION CISD,Texas,4831040.0,Hidalgo County,48215.0,24.0,23.0,TX-108908,15044.0,976.84,2213.47,108908,0.9583333333333334
MONAHANS-WICKETT-PYOTE ISD,Texas,4831170.0,Ward County,48475.0,6.0,6.0,TX-238902,2103.0,148.32,349.08,238902,1.0
