Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - January 10, 2021, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: January 4, 2021 - January 10, 2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Current Report Period,,,,,Cumulative Reports,,,,
,,,,,,,,,,"School Reported Source
of Infection",,,,,"School Reported Source
of Infection",,
District Name,"District
LEA
Number","Total District
Enrollment as
of October 30,
2020","Approximate
District On Campus
Enrollment as of
October 30, 2020",Campus Name,"Campus
ID","Total School
Enrollment as
of October
30, 2020","On-Campus
Enrollment for
School as of
October 30, 2020","New
Student
Cases","New
Staff
Cases","On
HOLLIDAY ISD,'005902,1042,978,HOLLIDAY H S,'005902001,324,312,,,,,,11,3,1,4,9
HOLLIDAY ISD TOTAL,'005902,1042,978,,,1042,978,,,,,,*,10,*,*,*
WINDTHORST ISD,'005904,434,422,WINDTHORST H S,'005904001,117,114,,,,,,,,,,
WINDTHORST ISD,'005904,434,422,WINDTHORST JH,'005904041,100,96,,,,,,,,,,
WINDTHORST ISD,'005904,434,422,WINDTHORST EL,'005904101,217,212,,,,,,,,,,
WINDTHORST ISD,'005904,434,422,,"Multiple
Campus",NR,NR,,,,,,8,9,3,1,13
WINDTHORST ISD TOTAL,'005904,434,422,,,434,422,,,,,,8,9,3,1,13
CLAUDE ISD,'006902,316,269,CLAUDE SCHOOLS,'006902001,316,269,,,,,,22,9,0,5,26
CLAUDE ISD TOTAL,'006902,316,269,,,316,269,,,,,,22,9,0,5,26
CHARLOTTE ISD,'007901,412,350,ATASCOSA CO ALTER,'007901002,NR,NR,,,,,,,,,,
CHARLOTTE ISD,'007901,412,350,"DISTRICT REASSIGNMENT &
OPPORTUNITY CENTER",'007901003,NR,NR,,,,,,,,,,
CHARLOTTE ISD,'007901,412,350,CHARLOTTE H S,'007901001,125,105,,,,,,*,1,*,*,*
CHARLOTTE ISD,'007901,412,350,CHARLOTTE MIDDLE,'007901041,105,85,,,,,,*,0,*,*,*
CHARLOTTE ISD,'007901,412,350,CHARLOTTE EL,'007901101,182,160,*,0,*,*,*,*,0,*,*,*
CHARLOTTE ISD,'007901,412,350,,"Multiple
Campus",NR,NR,,,,,,0,1,0,0,1
CHARLOTTE ISD TOTAL,'007901,412,350,,,412,350,*,0,*,*,*,*,2,*,*,*
JOURDANTON ISD,'007902,1562,1326,THE LARRY BROWN SCHOOL,'007902004,NR,NR,,,,,,,,,,
JOURDANTON ISD,'007902,1562,1326,"ATASCOSA COUNTY JUVENILE
JUSTICE CENTER",'007902005,5,5,,,,,,,,,,
JOURDANTON ISD,'007902,1562,1326,JOURDANTON DAEP,'007902006,2,2,,,,,,,,,,
JOURDANTON ISD,'007902,1562,1326,,"Multiple
Campus",NR,NR,,,,,,1,1,0,1,1
JOURDANTON ISD,'007902,1562,1326,JOURDANTON H S,'007902001,430,354,*,1,*,*,*,10,5,0,14,1
JOURDANTON ISD,'007902,1562,1326,JOURDANTON J H,'007902041,361,298,*,0,*,*,*,10,5,1,11,3
JOURDANTON ISD,'007902,1562,1326,JOURDANTON EL,'007902101,764,667,6,0,0,6,0,13,3,1,13,2
JOURDANTON ISD TOTAL,'007902,1562,1326,,,1562,1326,*,1,*,*,*,34,14,2,39,7
LYTLE ISD,'007904,1766,1191,LYTLE DAEP,'007904002,7,4,,,,,,,,,,
LYTLE ISD,'007904,1766,1191,JJAEP,'007904003,NR,NR,,,,,,,,,,
LYTLE ISD,'007904,1766,1191,LYTLE EL,'007904101,523,380,0,2,0,2,0,*,4,*,*,*
LYTLE ISD,'007904,1766,1191,,"Multiple
Campus",NR,NR,,,,,,0,6,0,0,6
LYTLE ISD,'007904,1766,1191,LYTLE PRIMARY SCHOOL,'007904103,332,271,*,0,*,*,*,7,2,0,5,4
LYTLE ISD,'007904,1766,1191,LYTLE J H,'007904041,425,287,*,0,*,*,*,13,2,0,15,0
LYTLE ISD,'007904,1766,1191,LYTLE H S,'007904001,479,249,*,0,*,*,*,27,4,0,26,5
LYTLE ISD TOTAL,'007904,1766,1191,,,1766,1191,*,2,*,*,*,*,18,*,*,*
PLEASANTON ISD,'007905,3433,2757,ATASCOSA CO ALTER,'007905004,7,7,,,,,,,,,,
PLEASANTON ISD,'007905,3433,2757,"PLEASANTON ISD SCHOOL OF
CHOICE",'007905005,14,6,,,,,,,,,,
PLEASANTON ISD,'007905,3433,2757,PLEASANTON PRI,'007905105,658,551,*,0,*,*,*,*,5,*,*,*
PLEASANTON ISD,'007905,3433,2757,,"Multiple
Campus",NR,NR,,,,,,0,2,0,0,2
PLEASANTON ISD,'007905,3433,2757,PLEASANTON EL,'007905103,969,787,*,2,*,*,*,12,4,0,16,0
PLEASANTON ISD,'007905,3433,2757,PLEASANTON J H,'007905041,821,644,*,2,*,*,*,15,7,0,22,0
PLEASANTON ISD,'007905,3433,2757,PLEASANTON H S,'007905001,964,762,13,3,0,16,0,35,7,0,41,1
