Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 - October 25, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period: October 19, 2020 - October 25, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
"CALVIN NELMS CHARTER
SCHOOLS",'101837,303,29,,,,,,,,,,,,,,
CAMERON ISD,'166901,1620,1461,,,,,,,,1,2,6,5,0,13,1
CAMPBELL ISD,'116910,294,251,0,0,0,2,0,2,0,0,0,2,3,0,5,0
CANADIAN ISD,'106901,879,808,0,0,1,1,0,0,2,5,4,10,6,0,4,21
CANTON ISD,'234902,2185,1969,0,1,2,0,0,0,3,3,2,6,0,0,0,11
CANUTILLO ISD,'071907,6007,973,,,,,,,,0,1,3,3,0,7,0
CANYON ISD,'191901,10323,9380,5,3,20,12,0,1,39,14,21,80,69,0,10,174
CARLISLE ISD,'201913,625,560,,,,,,,,0,0,5,3,0,3,5
CARRIZO SPRINGS CISD,'064903,2065,20,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CARROLL ISD,'220919,8297,4343,0,0,2,0,0,2,0,3,1,16,6,0,7,19
"CARROLLTON-FARMERS
BRANCH ISD",'057903,24701,10283,7,10,16,12,0,0,45,26,22,47,51,0,4,142
CARTHAGE ISD,'183902,2643,2356,2,0,1,0,0,2,1,3,1,25,15,3,7,34
CASTLEBERRY ISD,'220917,3633,1914,0,1,1,0,0,2,0,1,2,27,9,7,31,1
CAYUGA ISD,'001902,544,415,0,0,0,2,0,2,0,3,0,12,6,0,15,6
CEDAR HILL ISD,'057904,7290,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
"CEDARS INTERNATIONAL
ACADEMY",'227817,495,0,,,,,,,,,,,,,,
CELESTE ISD,'116902,494,453,0,0,1,1,0,2,0,0,0,1,1,0,2,0
CELINA ISD,'043903,2973,2360,0,2,1,0,0,2,1,4,14,58,24,2,58,40
CENTER ISD,'210901,2432,2232,0,0,0,5,0,0,5,2,2,25,14,0,7,36
CENTER POINT ISD,'133901,544,498,0,0,8,0,0,0,8,0,0,8,1,0,0,9
CENTERVILLE ISD,'145902,635,581,,,,,,,,0,0,3,1,0,4,0
CENTERVILLE ISD,'228904,134,127,,,,,,,,,,,,,,
CENTRAL HEIGHTS ISD,'174908,1135,1004,,,,,,,,1,2,1,4,0,3,5
CENTRAL ISD,'003907,1439,1203,0,0,0,1,0,1,0,2,0,2,5,0,9,0
CHANNELVIEW ISD,'101905,9214,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CHANNING ISD,'103901,171,166,,,,,,,,,,,,,,
CHAPARRAL STAR ACADEMY,'227814,371,7,,,,,,,,,,,,,,
CHAPEL HILL ACADEMY,'220815,771,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CHAPEL HILL ISD,'212909,3393,2189,1,2,3,1,0,1,6,5,8,28,21,0,5,57
CHAPEL HILL ISD,'225906,996,804,0,0,1,0,0,1,0,1,0,3,1,0,3,2
CHARLOTTE ISD,'007901,413,317,,,,,,,,,,,,,,
CHEROKEE ISD,'206903,131,129,,,,,,,,,,,,,,
CHESTER ISD,'229906,201,194,,,,,,,,,,,,,,
CHICO ISD,'249904,590,531,0,0,0,1,0,1,0,1,0,2,1,0,4,0
CHILDRESS ISD,'038901,1006,937,,,,,,,,0,0,2,0,0,2,0
CHILLICOTHE ISD,'099902,205,204,1,0,0,0,0,0,1,3,1,1,2,0,2,5
CHILTON ISD,'073901,519,477,,,,,,,,2,1,13,8,2,11,11
CHINA SPRING ISD,'161920,2869,2456,0,0,1,2,0,1,2,5,2,15,3,0,21,4
CHIRENO ISD,'174901,374,310,,,,,,,,1,0,10,9,5,6,9
CHISUM ISD,'139905,NR,NR,0,0,1,1,0,2,0,2,0,6,12,0,20,0
CHRISTOVAL ISD,'226901,568,530,,,,,,,,0,0,2,1,0,0,3
CISCO ISD,'067902,845,776,0,0,1,0,0,0,1,0,0,11,8,0,13,6
CITY VIEW ISD,'243906,1051,867,0,3,1,0,0,0,4,1,4,2,1,0,2,6
CITYSCAPE SCHOOLS,'057841,1208,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CLARENDON ISD,'065901,446,441,0,0,1,0,0,1,0,3,2,2,2,3,6,0
