Table 1
"Report 2: School Reported COVID-19 Cases in Public Schools, July 27, 2020 -  November 17, 2020, Texas",,,,,,,,,,,,,,,,,
"Current Report Period:  November 9, 2020-  November 15, 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Current Report Period,,,,,,,Cumulative Reports,,,,,,
,,,,,,,,"School Reported Source
of Infection",,,,,,,"School Reported Source
COMQUEST ACADEMY,'101842,38,6,,,,,,,,,,,,,,
COMSTOCK ISD,'233903,231,197,,,,,,,,,,,,,,
CONNALLY ISD,'161921,2338,1244,4,1,1,4,0,0,10,9,2,4,6,0,3,18
CONROE ISD,'170902,64575,49137,14,15,66,33,0,0,128,83,58,219,196,5,20,531
COOLIDGE ISD,'147901,306,286,0,0,2,0,0,2,0,0,0,4,0,0,4,0
COOPER ISD,'060902,806,707,,,,,,,,4,0,3,4,0,2,9
COPPELL ISD,'057922,13053,4659,1,0,40,9,11,39,0,13,8,123,50,26,168,0
COPPERAS COVE ISD,'050910,8087,4383,2,2,9,8,8,13,0,10,9,37,35,24,60,7
CORPUS CHRISTI ISD,'178904,34740,12251,12,9,18,10,0,49,0,43,23,60,75,17,182,2
"CORPUS CHRISTI MONTESSORI
SCHOOL",'178807,116,66,,,,,,,,0,0,0,4,0,2,2
CORRIGAN-CAMDEN ISD,'187904,790,725,,,,,,,,2,0,2,4,0,8,0
CORSICANA ISD,'175903,6071,4154,1,0,1,5,0,0,7,17,6,21,23,0,25,42
COTTON CENTER ISD,'095902,96,83,0,0,0,1,0,1,0,2,0,2,2,0,6,0
COTULLA ISD,'142901,1265,640,0,1,0,0,0,1,0,0,1,0,5,0,4,2
COUPLAND ISD,'246914,173,173,,,,,,,,,,,,,,
COVINGTON ISD,'109903,265,241,1,0,1,0,0,2,0,1,1,2,0,0,4,0
CRANDALL ISD,'129901,4870,3563,3,1,18,4,0,11,15,8,2,48,20,0,41,37
CRANE ISD,'052901,1099,1099,0,2,1,4,3,2,2,0,5,6,14,3,9,13
CRANFILLS GAP ISD,'018908,129,129,,,,,,,,4,3,4,3,4,1,9
CRAWFORD ISD,'161901,555,465,0,0,0,1,0,0,1,0,1,12,6,1,3,15
"CROCKETT COUNTY
CONSOLIDATED CSD",'053001,764,749,,,,,,,,0,3,8,4,0,3,12
CROCKETT ISD,'113901,1269,986,,,,,,,,3,1,20,12,0,5,31
CROSBY ISD,'101906,6348,3577,,,,,,,,4,4,20,9,13,11,13
CROSBYTON CISD,'054901,316,293,,,,,,,,0,1,3,2,0,6,0
CROSS PLAINS ISD,'030901,360,350,0,0,0,5,0,5,0,1,1,1,5,0,8,0
CROSS ROADS ISD,'107904,528,514,0,0,1,3,0,0,4,0,1,2,10,0,0,13
CROSSTIMBERS ACADEMY,'184801,120,99,,,,,,,,,,,,,,
CROWELL ISD,'078901,201,198,0,1,1,1,2,1,0,4,3,9,4,2,17,1
CROWLEY ISD,'220912,15886,7202,,,,,,,,12,3,9,15,1,34,4
CRYSTAL CITY ISD,'254901,1839,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CUERO ISD,'062901,1909,1909,,,,,,,,0,2,4,6,1,8,3
"CULBERSON
COUNTY-ALLAMOORE ISD",'055901,389,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CUMBERLAND ACADEMY,'212801,1955,1754,0,0,0,2,0,2,0,11,5,12,11,3,22,14
CUMBY ISD,'112905,420,386,0,2,0,1,0,1,2,1,2,13,11,5,7,15
CUSHING ISD,'174902,554,514,,,,,,,,,,,,,,
CYPRESS-FAIRBANKS ISD,'101907,114899,65150,10,10,58,55,13,30,90,52,44,254,231,45,99,437
D'HANIS ISD,'163902,316,287,,,,,,,,,,,,,,
DAINGERFIELD-LONE STAR ISD,'172902,1043,802,0,0,4,4,1,2,5,5,3,19,29,13,23,20
DALHART ISD,'056901,1633,1551,,,,,,,,2,2,12,13,0,10,19
DALLAS ISD,'057905,145519,69998,,,,,,,,93,60,109,13,5,20,250
DAMON ISD,'020910,109,95,,,,,,,,,,,,,,
DANBURY ISD,'020904,756,701,,,,,,,,,,,,,,
DARROUZETT ISD,'148905,139,124,0,0,0,1,0,1,0,0,1,0,2,0,1,2
DAWSON ISD,'058902,153,134,0,0,3,1,0,4,0,1,0,5,2,0,7,1
DAWSON ISD,'175904,509,423,,,,,,,,0,0,1,1,0,2,0
DAYTON ISD,'146902,5468,4572,0,1,2,1,0,2,2,4,4,27,20,12,31,12
DE LEON ISD,'047902,739,728,0,1,1,2,0,4,0,1,1,3,3,0,7,1
