District #,CARES ESSER I 20,CRRSA ESSER II 21,ARP ESSER III 21,ESSER-SUPP 22,ESSER-SUPP 23
131001,0.0,45118.0,101362.0,0.0,0.0
111801,0.0,95753.0,215118.0,0.0,0.0
22902,0.0,7007.0,15741.0,7442.0,7441.0
15842,0.0,258628.0,581030.0,0.0,0.0
117907,0.0,54568.0,122591.0,0.0,0.0
143905,0.0,49305.0,110768.0,0.0,0.0
220814,0.0,31710.0,71238.0,66078.0,66079.0
211901,0.0,58531.0,131494.0,0.0,0.0
143904,0.0,45028.0,101160.0,0.0,0.0
15834,0.0,0.0,0.0,987999.0,1010560.0
177903,0.0,0.0,0.0,74771.0,68495.0
57851,0.0,0.0,0.0,20002.0,20002.0
101837,0.0,0.0,0.0,101264.0,95430.0
227814,0.0,0.0,0.0,100485.0,95416.0
178807,0.0,0.0,0.0,85964.0,76244.0
133905,0.0,0.0,0.0,6667.0,7709.0
86024,0.0,0.0,0.0,19304.0,17260.0
92801,0.0,0.0,0.0,66761.0,61421.0
15836,0.0,0.0,0.0,160795.0,163838.0
242906,0.0,0.0,0.0,51332.0,50190.0
15914,0.0,0.0,0.0,639675.0,598534.0
90905,0.0,0.0,0.0,24682.0,22317.0
135001,0.0,0.0,0.0,37510.0,38075.0
244901,0.0,0.0,0.0,64390.0,57900.0
57911,0.0,0.0,0.0,1761134.0,1696136.0
43801,0.0,0.0,0.0,418353.0,402134.0
208903,0.0,0.0,0.0,92018.0,88128.0
61804,0.0,0.0,0.0,498963.0,482063.0
43802,0.0,0.0,0.0,82504.0,77147.0
162904,0.0,0.0,0.0,102361.0,97620.0
183801,0.0,0.0,0.0,147029.0,136204.0
15843,0.0,0.0,0.0,6250.0,6250.0
57840,0.0,0.0,0.0,87994.0,76465.0
